midoc.stn,tax.grp,bm_sum,swept_m3,bm_m3
MIDOC01,cephalopods,199,2125814.809408258,9.361116458464867e-5
MIDOC01,cnidarians,12438,2125814.809408258,0.005850932990471659
MIDOC01,fish,1993.4,2125814.809408258,9.377110325780837e-4
MIDOC01,mixed fish and invertebrates,464,2125814.809408258,2.1826924807676876e-4
MIDOC01,mixed/other crustaceans,50,2125814.809408258,2.3520393111720773e-5
MIDOC01,mixed/other gelatinous,10011,2125814.809408258,0.0047092531088287325
MIDOC01,mixed/other invertebrates,1820,2125814.809408258,8.561423092666361e-4
MIDOC02,cephalopods,73,2098511.5278798454,3.478656134605698e-5
MIDOC02,cnidarians,2151.4,2098511.5278798454,0.0010252028504096847
MIDOC02,fish,1268.2,2098511.5278798454,6.04333110946157e-4
MIDOC02,krill,0.4,2098511.5278798454,1.9061129504688756e-7
MIDOC02,mixed/other crustaceans,65,2098511.5278798454,3.097433544511923e-5
MIDOC02,mixed/other gelatinous,1174.6,2098511.5278798454,5.597300679051853e-4
MIDOC02,mixed/other invertebrates,1105,2098511.5278798454,5.265637025670269e-4
MIDOC02,salps,444.79999999999995,2098511.5278798454,2.1195976009213895e-4
MIDOC03,cephalopods,149,2097353.957263464,7.104189518606992e-5
MIDOC03,cnidarians,14939,2097353.957263464,0.007122784377078514
MIDOC03,fish,3413.8,2097353.957263464,0.0016276699448738625
MIDOC03,mixed/other crustaceans,81,2097353.957263464,3.86200906716219e-5
MIDOC03,mixed/other gelatinous,2292,2097353.957263464,0.001092805528634042
MIDOC03,mixed/other invertebrates,498,2097353.957263464,2.374420389440458e-4
MIDOC03,salps,17,2097353.957263464,8.105451128612005e-6
MIDOC04,cephalopods,145,2318978.142026929,6.252754063186689e-5
MIDOC04,cnidarians,24187,2318978.142026929,0.010430025001813548
MIDOC04,fish,5308.2,2318978.142026929,0.002289025456428109
MIDOC04,mixed fish and invertebrates,0,2318978.142026929,0
MIDOC04,mixed/other crustaceans,127,2318978.142026929,5.4765501105152376e-5
