"Date","ErrNumber","ErrDescription","CausedBy","ReplicationStatus"
11/05/2003 15:18:29,2164,"You can't disable a control while it has the focus.@@@1@5250@1","FishData NewFish","NotReplicated"
11/05/2003 15:19:34,2164,"You can't disable a control while it has the focus.@@@1@5250@1","FishData NewFish","NotReplicated"
25/06/2003 11:14:56,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:14:59,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:15:46,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:17:19,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:17:22,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:30:12,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:30:13,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:37:13,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:37:19,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:37:21,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:58:17,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:58:18,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:59:47,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 11:59:49,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:05:12,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:05:57,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:06:00,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:07:57,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:07:58,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:09:03,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:09:04,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:11:36,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 12:11:38,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:00:59,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:01:00,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:01:28,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:01:32,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:02:31,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:02:31,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:02:37,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:02:40,13,"Type mismatch","Haul ControlColours","NotReplicated"
25/06/2003 13:03:10,13,"Type mismatch","Haul ControlColours","NotReplicated"
6/08/2003 17:38:14,8002,"Invalid port number","FishData CantOpenScale","NotReplicated"
6/11/2003 13:47:09,8002,"Invalid port number","FishData CantOpenScale","NotReplicated"
6/11/2003 13:50:59,8012,"The device is not open","FishData Form bResetPorts","NotReplicated"
19/12/2003 1:26:47,3022,"The changes you requested to the table were not successful because they would create duplicate values in the index, primary key, or relationship.  Change the data in the field or fields that contain duplicate data, remove the index, or redefine the index to permit duplicate entries and try again.@@@2@5003022@2","Haul bCurrentHaul","NotReplicated"
19/12/2003 1:26:59,3022,"The changes you requested to the table were not successful because they would create duplicate values in the index, primary key, or relationship.  Change the data in the field or fields that contain duplicate data, remove the index, or redefine the index to permit duplicate entries and try again.@@@2@5003022@2","Haul bCurrentHaul","NotReplicated"
19/12/2003 2:54:37,8002,"Invalid port number","FishData CantOpenScale","NotReplicated"
19/12/2003 2:55:08,8002,"Invalid port number","FishData CantOpenScale","NotReplicated"
19/12/2003 13:33:26,8002,"Invalid port number","FishData CantOpenScale","NotReplicated"
19/12/2003 13:33:42,8018,"Operation valid only when the port is open","FishData Tare Pols","NotReplicated"
