"BatchID","Fish Serial Number","Prey ID","Prey Weight","Prey Number","Digestion Class","Notes"
2,"HIPP0783",366,4.0e-03,,,
2,"HIPP0783",438,0.03,,,
4,"HIPP0787",366,0.13,,,
4,"HIPP0787",438,0.01,,,
4,"HIPP0787",439,5.0e-03,,,
4,"HIPP0787",440,1.0e-03,,,
4,"HIPP0787",449,1.0e-03,,,
5,"HIPP0800",8,0.17,,,
5,"HIPP0800",440,1.0e-03,,,
5,"HIPP0800",452,5.0e-03,,,
5,"HIPP0850",366,6.0e-03,,,
5,"HIPP0850",438,2.0e-03,,,
5,"HIPP0850",443,5.0e-03,,,
5,"HIPP0850",452,0.02,,,
5,"HIPP0918",366,0.03,,,
5,"HIPP0918",438,0.01,,,
5,"HIPP0918",452,6.0e-03,,,
5,"HIPP0927",366,1.0e-03,,,
5,"HIPP0927",438,1.0e-03,,,
5,"HIPP0991",366,0.05,,,
5,"HIPP0991",438,0.03,,,
5,"HIPP0991",440,1.0e-03,,,
5,"HIPP0991",452,0.01,,,
6,"HIPP1686",445,0.21,,,
6,"HIPP1691",438,5.0e-03,,,
6,"HIPP1691",439,5.0e-03,,,
6,"HIPP1691",444,5.0e-03,,,
6,"HIPP1691",445,0.70,,,
6,"HIPP1691",452,0.69,,,
6,"HIPP1700",452,5.0e-03,,,
7,"HIPP1705",438,5.0e-03,,,
7,"HIPP1705",441,0.12,,,
7,"HIPP1705",442,0.03,,,
7,"HIPP1705",451,5.0e-03,,,
7,"HIPP1705",452,0.17,,,
7,"HIPP1724",366,0.88,,,
7,"HIPP1724",438,0.10,,,
7,"HIPP1724",439,0.06,,,
7,"HIPP1724",441,0.68,,,
7,"HIPP1724",452,3.32,,,
7,"HIPP1734",366,0.01,,,
7,"HIPP1734",438,5.0e-03,,,
7,"HIPP1734",440,1.0e-03,,,
7,"HIPP1734",452,0.01,,,
7,"HIPP1736",366,0.03,,,
7,"HIPP1736",445,0.06,,,
7,"HIPP1736",452,5.0e-03,,,
8,"HIPP1748",438,0.04,,,
8,"HIPP1748",444,1.0e-03,,,
8,"HIPP1748",452,0.02,,,
8,"HIPP1774",14,5.0e-03,,,
8,"HIPP1774",366,1.28,,,
8,"HIPP1774",438,0.15,,,
8,"HIPP1774",439,0.90,,,
8,"HIPP1774",441,0.77,,,
8,"HIPP1774",444,5.0e-03,,,
8,"HIPP1774",451,5.0e-03,,,
8,"HIPP1774",452,3.00,,,
8,"HIPP1776",441,0.04,,,
8,"HIPP1776",452,5.0e-03,,,
9,"HIPP1778",438,1.0e-03,,,
9,"HIPP1778",452,5.0e-03,,,
9,"HIPP1779",366,0.03,,,
9,"HIPP1779",438,5.0e-03,,,
9,"HIPP1779",440,1.0e-03,,,
9,"HIPP1779",442,0.03,,,
9,"HIPP1779",452,5.0e-03,,,
10,"HIPP1781",14,1.0e-03,,,
10,"HIPP1781",438,1.0e-03,,,
10,"HIPP1781",439,1.0e-03,,,
10,"HIPP1781",452,1.0e-03,,,
10,"HIPP1782",438,5.0e-03,,,
11,"HIPP1785",366,0.04,,,
11,"HIPP1785",438,5.0e-03,,,
11,"HIPP1785",452,1.0e-03,,,
11,"HIPP1786",0,0.05,,,"""Other"""
11,"HIPP1786",438,0.01,,,
11,"HIPP1786",441,0.13,,,
11,"HIPP1786",442,5.0e-03,,,
11,"HIPP1786",452,0.03,,,
11,"HIPP1787",366,0.12,,,
11,"HIPP1787",438,1.0e-03,,,
11,"HIPP1787",439,1.0e-03,,,
12,"HIPP1800",441,0.04,,,
12,"HIPP1800",452,0.08,,,
12,"HIPP1825",438,5.0e-03,,,
12,"HIPP1825",452,0.08,,,
12,"HIPP1851",451,5.0e-03,,,
12,"HIPP1851",452,1.00,,,
12,"HIPP1862",366,0.09,,,
12,"HIPP1862",438,1.0e-03,,,
12,"HIPP1862",439,0.10,,,
12,"HIPP1862",441,0.05,,,
12,"HIPP1862",452,0.37,,,
12,"HIPP1870",366,0.03,,,
12,"HIPP1870",438,5.0e-03,,,
12,"HIPP1870",440,1.0e-03,,,
12,"HIPP1870",451,5.0e-03,,,
12,"HIPP1870",452,0.09,,,
12,"HIPP1874",452,1.0e-03,,,
12,"HIPP1899",14,1.0e-03,,,
12,"HIPP1899",366,0.07,,,
