"BatchID","Fish Serial Number","Stomach Collection","Stomach Weight","Stomach Fullness","Notes","Fullness comments"
2,"HIPP0783",0,,,"mush: = 3 copepods; 4 euphausid eyeballs",
4,"HIPP0784",0,,,"5 ostracods; 3 euphausids",
4,"HIPP0785",0,,,"5 euphausids; 1 ostracod; 1 copepod",
4,"HIPP0786",0,,,"1 euphausid; 2 copepods; 1 amphipod; 1 chaetognath",
4,"HIPP0787",0,,,"3 ostracods; 1 euphausid; 1 amphipod",
5,"HIPP0788",0,,,"whole fish retained",
5,"HIPP0789",0,,,"whole fish retained",
5,"HIPP0790",0,,,"whole fish retained",
5,"HIPP0791",0,,0.00,"empty",
5,"HIPP0792",0,,1.00,"1 ostracod, tiny amt residue",
5,"HIPP0793",0,,,"whole fish retained",
5,"HIPP0794",0,,,"whole fish retained",
5,"HIPP0795",0,,,"whole fish retained",
5,"HIPP0796",0,,0.00,"empty",
5,"HIPP0797",0,,,"purple jelly (in upper part of stomach)",
5,"HIPP0798",0,,0.00,"empty",
5,"HIPP0799",0,,0.00,"empty",
5,"HIPP0800",0,,0.00,"empty",
5,"HIPP0801",0,,0.00,"empty",
5,"HIPP0802",0,,2.00,"small amt residue",
5,"HIPP0803",0,,2.00,"small amt residue",
5,"HIPP0804",0,,,"5 copepods, residue",
5,"HIPP0805",0,,0.00,"empty",
5,"HIPP0806",0,,0.00,"empty",
5,"HIPP0807",0,,0.00,"empty",
5,"HIPP0808",0,,0.00,"empty",
5,"HIPP0809",0,,0.00,"empty",
5,"HIPP0810",0,,2.00,"small amt residue",
5,"HIPP0811",0,,0.00,"empty",
5,"HIPP0812",0,,2.00,"small amt residue",
5,"HIPP0813",0,,0.00,"empty",
5,"HIPP0814",0,,0.00,"empty",
5,"HIPP0815",0,,,"residue (mush)",
5,"HIPP0816",0,,,"residue incl. 3 euphausid eyes",
5,"HIPP0817",0,,,"residue incl. 2 euphausid eyes",
5,"HIPP0818",0,,2.00,"small amt residue",
5,"HIPP0819",0,,0.00,"empty",
5,"HIPP0820",0,,0.00,"empty",
5,"HIPP0821",0,,,"small amt crustacean residue",
5,"HIPP0822",0,,,"residue",
5,"HIPP0823",0,,0.00,"empty",
5,"HIPP0824",0,,2.00,"2 copepods; small amt residue (prob copepods)",
5,"HIPP0825",0,,0.00,"empty",
5,"HIPP0826",0,,,"1 euphausid eye",
5,"HIPP0827",0,,,"residue incl. 1 euphausid eye",
5,"HIPP0828",0,,2.00,"v. small amt residue",
5,"HIPP0829",0,,2.00,"v. small amt residue",
5,"HIPP0830",0,,2.00,"v. small amt residue",
5,"HIPP0831",0,,2.00,"v. small amt residue",
5,"HIPP0832",0,,0.00,"empty",
5,"HIPP0833",0,,,"residue incl. remains 3 gastropods",
5,"HIPP0834",0,,,"1 copepod; residue (prob. Copepod)",
5,"HIPP0835",0,,2.00,"1 isopod; small amt residue",
5,"HIPP0836",0,,2.00,"small amt residue (copepod)",
5,"HIPP0837",0,,,"residue + 1/2 euphausid",
5,"HIPP0838",0,,0.00,"empty",
5,"HIPP0839",0,,2.00,"small amt residue",
5,"HIPP0840",0,,2.00,"small amt residue incl gastropod umbo",
5,"HIPP0841",0,,2.00,"small amt residue",
5,"HIPP0842",0,,2.00,"small amt residue incl gastropod umbo",
5,"HIPP0843",0,,,"residue",
5,"HIPP0844",0,,,"residue incl gastropod umbo",
5,"HIPP0845",0,,0.00,"empty",
5,"HIPP0846",0,,,"1 copepod",
5,"HIPP0847",0,,2.00,"small amt residue",
5,"HIPP0848",0,,,"residue",
5,"HIPP0849",0,,2.00,"v. small amt residue",
5,"HIPP0850",0,,0.00,"empty",
5,"HIPP0851",0,,,,
5,"HIPP0852",0,,,,
5,"HIPP0853",0,,,,
5,"HIPP0854",0,,,,
5,"HIPP0855",0,,,,
5,"HIPP0856",0,,,,
5,"HIPP0857",0,,,,
5,"HIPP0858",0,,,,
5,"HIPP0859",0,,,,
5,"HIPP0860",0,,,,
5,"HIPP0861",0,,,,
5,"HIPP0862",0,,,,
5,"HIPP0863",0,,,,
5,"HIPP0864",0,,,,
5,"HIPP0865",0,,,,
5,"HIPP0866",0,,,,
5,"HIPP0867",0,,,,
5,"HIPP0868",0,,,,
5,"HIPP0869",0,,,,
5,"HIPP0870",0,,,,
5,"HIPP0871",0,,,,
5,"HIPP0872",0,,,,
5,"HIPP0873",0,,,,
5,"HIPP0874",0,,,,
5,"HIPP0875",0,,,,
5,"HIPP0876",0,,,,
5,"HIPP0877",0,,,,
5,"HIPP0878",0,,,,
5,"HIPP0879",0,,,,
5,"HIPP0880",0,,,,
5,"HIPP0881",0,,,,
5,"HIPP0882",0,,,,
5,"HIPP0883",0,,,,
5,"HIPP0884",0,,,,
5,"HIPP0885",0,,,,
5,"HIPP0886",0,,,,
5,"HIPP0887",0,,,,
5,"HIPP0888",0,,,,
5,"HIPP0889",0,,,,
5,"HIPP0890",0,,,,
