"lon","lat"
64.1382,-64.1298
64.5996,-64.0434
65.0171,-63.947
65.3467,-63.86
65.6982,-63.7825
66.0938,-63.7047
66.5552,-63.656
67.1045,-63.6365
67.6099,-63.6267
68.1812,-63.617
68.7085,-63.5779
69.2139,-63.5681
69.7192,-63.5681
70.2026,-63.5681
70.4443,-63.573
70.719,-63.573
71.1475,-63.5534
71.543,-63.5339
71.9165,-63.5094
72.2241,-63.4922
72.4493,-63.4824
72.6251,-63.4701
72.8009,-63.4677
72.9657,-63.4677
73.158,-63.4751
73.6304,-63.4996
74.1248,-63.5253
74.5422,-63.5583
74.7565,-63.5706
74.9432,-63.573
75.2014,-63.5534
75.4431,-63.5094
75.6354,-63.4873
75.8386,-63.4505
76.0583,-63.4431
76.2781,-63.4505
76.6077,-63.4996
76.8823,-63.5974
77.146,-63.6609
77.2998,-63.7339
77.4261,-63.7703
77.5085,-63.7825
77.6349,-63.7983
77.7722,-63.7958
77.9095,-63.7813
78.0084,-63.7546
78.0908,-63.7145
78.1732,-63.6487
78.2556,-63.5828
78.3984,-63.529
78.5522,-63.48
78.772,-63.4407
78.9917,-63.4014
79.3433,-63.3817
79.7607,-63.4112
80.2441,-63.5192
80.5518,-63.6463
80.8594,-63.7728
81.145,-63.8987
81.4307,-64.0434
81.6943,-64.1872
81.936,-64.3209
82.1777,-64.4349
82.3425,-64.4917
82.5073,-64.5484
82.6941,-64.5885
82.771,-64.6074
82.8754,-64.6215
83.0676,-64.6451
83.2544,-64.6521
83.6279,-64.6709
84.0234,-64.6427
84.4189,-64.5956
84.7046,-64.5295
85.0562,-64.4254
85.2979,-64.2828
85.4956,-64.1202
85.5396,-63.9567
85.6055,-63.7582
85.6714,-63.5828
85.7153,-63.4063
85.7593,-63.2089
85.7703,-63.0051
85.7812,-62.7497
85.7483,-62.5225
85.8032,-62.3292
85.8966,-62.2321
86.0449,-62.1552
86.2262,-62.0833
86.4185,-62.0318
86.6217,-62.0112
86.8359,-61.9983
87.0337,-61.9957
87.2314,-62.0009
87.4402,-62.0267
87.6489,-62.0576
87.8302,-62.1065
88.0884,-62.1758
88.418,-62.2781
88.6377,-62.3496
88.797,-62.4056
88.9838,-62.4768
89.1376,-62.5301
89.3298,-62.5908
89.5166,-62.6489
89.6155,-62.6767
89.7198,-62.7019
89.8352,-62.7195
89.9561,-62.7346
90.0879,-62.7472
90.2252,-62.7497
90.5328,-62.7497
90.7745,-62.7472
91.0162,-62.7321
91.2689,-62.717
91.5271,-62.6918
91.7468,-62.6641
92.0325,-62.6363
92.417,-62.5933
92.796,-62.5478
93.1421,-62.5123
93.5706,-62.4666
93.999,-62.4082
94.411,-62.3394
94.834,-62.2577
95.2734,-62.186
95.7788,-62.0833
