midoc.stn,DNC.auto,DNC.visual,notes for DNC comparison
MIDOC01,D,D,
MIDOC02,D,D,
MIDOC03,D,NC,visual shows end of haul right at sunset
MIDOC04,D,D,
MIDOC05,D,D,
MIDOC06,D,NC,visual shows end of haul right at sunset
MIDOC07,D,D,
MIDOC08,N,D,
MIDOC09,NC,NC,
MIDOC10,N,N,
MIDOC11,N,D,
MIDOC12,NC,NC,
MIDOC13,NC,D,no valid start and end time from midoc log files; field notes indicate it was a day-time shot
MIDOC14,D,D,arguably NC from visual
MIDOC15,D,NC,finish only JUST before sunset
MIDOC16,D,D,
MIDOC17,MC,MC,
MIDOC18,D,D,
MIDOC19,D,D,
MIDOC20,NC,NC,
MIDOC21,D,D,
MIDOC22,N,MC,
MIDOC23,NC,NC,
MIDOC24,D,D,
MIDOC25,NC,NC,
MIDOC26,D,D,
MIDOC27,NC,NC,
MIDOC28,D,D,
MIDOC29,D,D,finish not long before sunset
MIDOC30,N,D,
MIDOC31,NC,NC,
MIDOC32,D,D,
MIDOC33,D,D,
MIDOC34,D,D,
MIDOC35,MC,MC,field record says still full dark on retrieval
MIDOC36,NC,NC,start only just before sunset
MIDOC37,D,D,
MIDOC38,N,N,
MIDOC39,D,D,
MIDOC40,D,NC,finish only JUST before sunset
