midoc.stn,start_time,end_time,lat_start,lon_start,lat_end,lon_end,trackdistm,mean_grnd_spd,midoc.n,no.problems,bestley.zone,zone.notes,DNC.auto,DNC.visual,notes for DNC comparison,zone,Tmin,Tmin_depth,Tmax,SML,Smax,O2_min,days_since_melt,distance_to_ice_m,distance_to_edge_m,sea_ice_conc,chl_rs,intChl
MIDOC01,2016-01-24T10:52:07Z,2016-01-24T15:08:33Z,-61.393308,93.488604,-61.184118,93.545112,24417.94293329355,3.07998049849653,1,FALSE,Southern,NA,D,D,NA,Southern,-1.1514676255400051,62.64142360000147,1.6282334314000415,37.811435199998044,34.72874304255,193.7451288939978,72.99999985401269,234505.99807431785,234505.99807431785,0,1.9843915605079034,93.46195
MIDOC02,2016-01-25T00:15:44Z,2016-01-25T04:38:55Z,-61.811024,92.785676,-61.955092,92.428464,26328.250655093234,3.2471892581367783,2,FALSE,Southern,NA,D,D,NA,Southern,-1.1474156580291752,60.85796290994242,1.5821726296940701,39.934444419973424,34.73092351848997,196.2146981499019,50.999999948433064,205244.4944362251,205244.4944362251,0,1.8629859229567802,125.840525
MIDOC03,2016-01-25T11:39:05Z,2016-01-25T16:05:54Z,-62.134032,92.00363,-62.262328,91.598529,26049.504821903785,3.168839559560416,3,TRUE,Southern,NA,D,NC,visual shows end of haul right at sunset,Southern,-1.2197605936231086,54.68883097999074,1.5896704977320113,37.087152759995725,34.72760167822,196.41875405220028,45.00000000286102,217494.10848588755,217494.10848588755,0,1.8123399564802687,97.529
MIDOC04,2016-01-26T08:09:55Z,2016-01-26T12:44:52Z,-62.361156,90.248997,-62.39013,89.682891,30265.21414201638,3.5715670544508225,4,TRUE,Southern,NA,D,D,NA,Southern,-1.3280202751120989,51.06197919006149,1.5091727134432202,27.87604161987702,34.72263912035997,198.44146442348617,45.825139667313856,252703.18214313398,252703.18214313398,0,2.061963558816695,90.750675
MIDOC05,2016-01-27T09:39:53Z,2016-01-27T14:12:47Z,-62.492633,86.673354,-62.509799,86.174402,26310.310575913198,3.1283193438122017,5,FALSE,Subpolar,NA,D,D,NA,Subpolar,-1.039238831245284,57,1.5831866416586362,23.24854168007771,34.7294633738601,190.2849827330751,52.48599385150585,218459.5498556417,218459.5498556417,0,0.9399684089336555,55.801024999999996
MIDOC06,2016-01-28T12:14:01Z,2016-01-28T16:42:30Z,-62.51607,82.661115,-62.366993,82.456069,25901.73969046167,3.1232866008067357,6,TRUE,Antarctic ACC,may be Antarctic - KP,D,NC,visual shows end of haul right at sunset,Antarctic ACC,-0.8340109394547036,62.60707179999462,1.9585024630399899,38.07787039999609,34.7447743345,173.47650376499953,63.99991145260178,182522.13800722844,182522.13800722844,0,1.8367106216684892,64.3391
MIDOC07,2016-01-29T10:11:59Z,2016-01-29T14:36:31Z,-63.036385,82.010445,-63.26486,82.022183,26699.796432370505,3.2810821091116873,7,TRUE,Antarctic ACC,NA,D,D,NA,Antarctic ACC,-1.1152904304038354,57.8002776798937,1.9397582879166984,30.95030081988485,34.743025080989966,176.1654391418233,56.99999998574907,117265.30481904763,117265.30481904763,0,1.4676341388930185,62.673925000000004
MIDOC08,2016-01-29T23:56:13Z,2016-01-30T04:23:00Z,-63.747397,82.791092,-63.932449,83.106629,26595.028779461893,3.2368274194557825,8,FALSE,Antarctic ACC,May be Antarctic - KP,N,D,NA,Antarctic ACC,-1.0939977359320854,44.063055440054995,1.9007789198111562,16.068310060059584,34.73901839117001,179.17618034938795,55.00000000850589,28034.390674998074,28034.390674998074,0,1.953271870613848,NA
MIDOC09,2016-01-30T13:30:58Z,2016-01-30T17:51:27Z,-63.742656,82.78537,-63.895944,83.091592,23770.7502406909,2.9636913472408675,9,FALSE,Antarctic ACC,May be Antarctic - KP,NC,NC,NA,Antarctic ACC,-1.4781236194246663,49.63171299999511,1.8377782414850545,16,34.7328051157,181.75806112799776,56,43885.15243387086,43885.15243387086,0,1.9695662239808869,61.837700000000005
MIDOC10,2016-01-30T18:16:41Z,2016-01-30T19:40:38Z,-63.923271,83.106485,-63.985584,83.178357,8134.725765967059,3.145525113964024,10,FALSE,Antarctic KP,NA,N,N,NA,Antarctic KP,-1.6134918097104505,51.61585649996996,1.8156451207428352,16,34.73062255785003,182.6628305639863,55.99856453571518,29521.375155338286,29521.375155338286,0,1.9801629426405545,NA
