"lon","lat"
82.1338,-56.2006
82.2546,-56.3074
82.3425,-56.3957
82.5128,-56.5625
82.6447,-56.6562
82.749,-56.7407
82.7985,-56.7858
82.8589,-56.8355
82.9578,-56.903
83.0594,-56.9839
83.1693,-57.0602
83.2983,-57.1258
83.4576,-57.2077
83.6005,-57.2672
83.7323,-57.3206
83.8257,-57.368
83.9355,-57.4183
84.0399,-57.4627
84.1772,-57.5099
84.3311,-57.5777
84.408,-57.6219
84.5508,-57.6865
84.7046,-57.7569
84.8529,-57.8214
84.9573,-57.8827
85.0507,-57.9294
85.1715,-57.9935
85.2979,-58.0575
85.3967,-58.1156
85.4846,-58.1765
85.5725,-58.2373
85.6824,-58.321
85.7593,-58.3916
85.8582,-58.488
85.9241,-58.5597
85.9955,-58.6427
86.0641,-58.724
86.1383,-58.8109
86.1987,-58.9217
86.2317,-59.0066
86.2646,-59.0914
86.2921,-59.1844
86.3251,-59.2967
86.3525,-59.4143
86.3855,-59.5315
86.413,-59.6372
86.4404,-59.7149
86.4789,-59.7841
86.5091,-59.8696
86.5421,-59.9103
86.5887,-59.9591
86.6505,-59.999
86.7261,-60.047
86.8799,-60.1415
87.0117,-60.2016
87.1436,-60.2548
87.3853,-60.3215
87.5336,-60.346
87.6819,-60.3704
87.8659,-60.3854
88.0774,-60.3867
88.2587,-60.3772
88.4619,-60.3487
