"s_Generation","BycatchIndex","HaulID","s_GUID","SpeciesID","Count","s_Lineage","Code_Descriptor","Weight","Weight_Code","Fate_Code","Sample_Code","Comments","CommercialCatch","HaulNumber","NoSpecColl","CruiseOld","Species_CodeOld","PercentageHooksObs"
,-113763083,113,"{8C23AED6-7094-4EC0-BBD9-DDB8ABF56795}",390,18,,"AC",10.08,4,"TSH",,"4 large were 10.0kg, plus BH data",0,0,0,0,,0
,1830892818,113,"{30D15BE9-3987-42E7-95DC-203D55305C4C}",885,86,,"AC",0.05,4,"SAM",,"plus BH data",0,0,30,0,,0
,1862565931,113,"{26DEC409-3397-4719-9FED-DD04B9D32518}",26,22,,"AC",9.8e-03,4,"SAM",,,0,0,22,0,,0
,45164944,113,"{FC08E96D-7BC1-4840-AD62-69B5EE468B00}",806,,,,0.18,4,"SAM",,"siphonophore bracts",0,0,0,0,,0
,947629649,113,"{59E045B5-BA7A-4532-8C9A-3703B9768B40}",802,83,,"AC",0.02,4,"SAM",,"Calycopsis plus BH data",0,0,8,0,,0
,-879072706,113,"{3AB8CA54-6F96-4314-A934-FC13A4E44C93}",819,7,,"AC",8.4e-03,4,"SAM",,,0,0,7,0,,0
,-1793551716,113,"{E1121D0C-904E-4749-A979-3DF0C30CF346}",373,,,,0.08,4,"SAM",,"Jellyfish sp",0,0,0,0,,0
,-78730710,113,"{DFE2B63C-3C6B-4148-BD62-3D1F1EB1730A}",808,7,,"AC",4.0e-03,4,"SAM",,"Tomopteris",0,0,7,0,,0
,305505635,113,"{2F8E5CED-6DAD-4322-9A62-8D160DE09C65}",255,6,,"AC",0.02,4,"SAM",,,0,0,6,0,,0
,264569960,113,"{55563CD0-76FE-46D0-868C-ECA1FCF05BE1}",437,5,,"AC",0.01,4,"SAM",,"Sarah sampled 1",0,0,6,0,,0
,-644401591,113,"{AA6A08C9-6CCF-41C1-B81C-2F69D317E798}",433,6,,"AC",0.01,4,"SAM",,"Sarah sampled 1",0,0,6,0,,0
,-6676266,113,"{DCFC0F09-7984-4871-A7E2-9D78A0D8B23A}",259,1,,"AC",2.4e-03,4,"SAM",,,0,0,1,0,,0
,-283637345,113,"{0F511797-3641-4F0D-95CC-6D80E35B0D98}",180,1,,"AC",6.6e-03,4,"SAM",,,0,0,1,0,,0
,748587764,113,"{3BCBEC25-DBB4-4A97-97C2-4E13DEA44E8D}",232,1,,"AC",0.01,4,"SAM",,,0,0,1,0,,0
,1102423269,113,"{45340ECB-2DD6-4F75-B98E-7CFFC515F9D9}",214,10,,"AC",6.4e-03,4,"SAM",,,0,0,10,0,,0
,1062451778,113,"{B7683646-7134-4916-8DA0-CA496DC4B68F}",152,53,,"AC",0.08,4,"SAM",,,0,0,53,0,,0
,563022235,113,"{F15265F4-18A7-47FE-98A3-A1985EA42901}",175,161,,"AC",0.14,4,"SAM",,,0,0,0,0,,0
,142996032,113,"{562CA915-C8C7-431B-A124-84EC7A59BD6A}",163,1,,"AC",8.0e-04,4,"SAM",,,0,0,1,0,,0
,657528129,113,"{3747B20B-356E-4DB6-903E-3D77FFD5BE9C}",209,1,,"AC",1.0e-05,,"SAM",,,0,0,1,0,,0
,-247865001,114,"{26D4B7B6-16D8-4B12-8691-E6E476772F77}",269,1,,"AC",0.01,4,"SAM",,,0,0,1,0,,0
,1247856204,114,"{F837A9FF-B503-4B1D-832D-3AC9B6CCCCB1}",255,5,,"AC",8.2e-03,4,"SAM",,,0,0,5,0,,0
,472589149,114,"{AFE55B7D-2113-457C-89B8-6F2ED6AD67CF}",437,1,,"AC",2.2e-03,4,"SAM",,,0,0,1,0,,0
,2073740634,114,"{A38890BE-28F0-4586-80D5-8B38682D102D}",152,18,,"AC",0.01,4,"SAM",,,0,0,18,0,,0
