"HaulID","Cruise","HaulNumber","Set Start (UTC)","Set Finish (UTC)","Haul Start (UTC)","Haul Finish (UTC)","Start Fish Observations (UTC)","End Fish Observations (UTC)","TimeZone","Fishing Depth (m)","StartBottom Depth (m)","EndBottom Depth (m)","Start Haul Depth","End Haul Depth","Start Set Lat","Start Set Lon","End Set Lat","End Set Lon","Start Haul Lat","Start Haul Lon","End Haul Lat","End Haul Lon","Tow Distance (NM)","Wire Out (m)","Headline Height (m)","Tow Speed (knots)","Headline width (m)","Gear Type","Place","Comments","FishingGround","TargetSpecies","Purpose","FisheryIndex","NoTrapsinSet","LineLength","NoHooks","NoMagazines"
2,1,12.00,,,3/12/2021 0:46:00,3/12/2021 1:00:00,,,0,150,,,230,,,,,,-51.69,76.18,-51.69,76.16,0.52,469,7.00,2.00,32,35,7,"net took 34 minutes to get to 150m; doors crossed on hauling",46,146,"Research",2,0,0,0,0
3,1,13.00,,,23/12/2003 0:48:00,23/12/2003 0:00:00,,,0,226,,,,,,,,,-51.71,78.24,-51.00,78.00,,639,,2.20,,32,7,"Camera tow",46,146,"Research",2,0,0,0,0
4,1,15.00,,,24/12/2003 9:12:00,24/12/2003 9:35:00,,,0,150,,,1080,1080,,,,,-53.33,74.15,-53.34,74.13,0.86,372,6.00,2.20,31,35,7,"Fishing depth 150-50 m (oblique tow); headline 6.1/5.7/6.7; wing 31/26/23",52,146,"Research",2,0,0,0,0
5,1,38.01,,,1/01/2004 15:31:00,1/01/2004 16:02:00,,,0,600,,,958,958,,,,,-53.28,74.12,-53.29,74.09,1.38,1287,4.00,2.50,54,35,7,"Heading 230; Practice Shot; Tow depth 600-300 m; wing 54/35",51,146,"Research",2,0,0,0,0
6,1,40.01,,,2/01/2004 15:58:00,2/01/2004 16:28:00,,,0,530,,,554,737,,,,,-53.07,74.33,-53.08,74.30,1.23,1107,4.50,2.30,35,35,7,"Fishing depth 530-350; wire out 1107-850; headline height 4.5-4.6",51,146,"Research",2,0,0,0,0
7,1,40.02,,,2/01/2004 17:57:00,2/01/2004 18:30:00,,,0,300,,,623,623,,,,,-53.08,74.33,-53.08,74.29,1.58,760,,2.50,31,35,7,,51,146,"Research",2,0,0,0,0
8,1,40.03,,,2/01/2004 19:30:00,2/01/2004 20:00:00,,,0,100,,,660,660,,,,,-53.07,74.33,-53.08,74.31,0.99,200,7.00,2.00,16,35,7,,51,146,"Research",2,0,0,0,0
9,1,40.04,,,2/01/2004 20:45:00,2/01/2004 21:15:00,,,0,100,,,557,,,,,,-53.07,74.33,-53.08,74.31,1.04,,,,,34,7,"Fishing depth 100m to surface",51,146,"Research",2,0,0,0,0
10,1,40.05,,,2/01/2004 21:56:00,2/01/2004 22:28:00,,,0,300,,,,,,,,,-53.07,74.34,-53.08,74.31,1.13,,,,,34,7,"Fishing depth 300-100m",51,146,"Research",2,0,0,0,0
11,1,40.06,,,2/01/2004 23:38:00,3/01/2004 0:08:00,,,0,515,,,540,540,,,,,-53.07,74.33,-53.08,74.30,1.00,812,,2.10,,34,7,"Fishing depth 515-300 metres",51,146,"Research",2,0,0,0,0
12,1,41.01,,,3/01/2004 16:14:00,3/01/2004 16:44:00,,,0,600,,,1201,774,,,,,-53.20,74.27,-53.18,74.25,1.29,1200,5.90,2.50,42,35,7,"Wire out 1200-700; Fishing depth 600-300 m; Macaroni Box 3",51,146,"Research",2,0,0,0,0
13,1,41.02,,,3/01/2004 18:40:00,3/01/2004 19:10:00,,,0,100,,,1360,,,,,,-53.21,74.30,-53.20,74.27,1.32,100,,2.40,,35,7,"Fishing depth 100m to surface",51,146,"Research",2,0,0,0,0
14,1,41.03,,,3/01/2004 20:22:00,3/01/2004 20:54:00,,,0,300,,,1095,1095,,,,,-53.20,74.28,-53.19,74.26,1.08,600,6.00,1.80,34,35,7,"Fishing depth 300-100",51,146,"Research",2,0,0,0,0
15,1,41.04,,,3/01/2004 21:57:00,,,,0,100,,,1375,,,,,,-53.21,74.29,-53.19,74.27,1.07,200,,2.10,,34,7,"Fishing depth 100 m - surface",51,146,"Research",2,0,0,0,0
16,1,41.05,,,3/01/2004 23:10:00,3/01/2004 23:42:00,,,0,300,,,1360,1360,,,,,-53.21,74.29,-53.20,74.27,1.12,600,,2.20,,34,7,"Fishing depth 300 - 100 m",51,146,"Research",2,0,0,0,0
17,1,42.01,,,4/01/2004 0:26:00,4/01/2004 0:56:00,,,0,100,,,1320,,,,,,-53.21,74.28,-53.19,74.27,1.00,200,,2.20,,34,7,"Fishing depth 100 m - surface",51,146,"Research",2,0,0,0,0
18,1,42.02,,,4/01/2004 2:48:00,4/01/2004 3:10:00,,,0,300,,,1300,,,,,,-53.21,74.29,-53.20,74.27,1.00,600,,1.70,,34,7,"Fishing depth 300 - 100 m",51,146,"Research",2,0,0,0,0
19,1,42.03,,,4/01/2004 4:18:00,4/01/2004 4:48:00,,,0,600,,,1372,,,,,,-53.21,74.28,-53.19,74.27,1.03,835,,1.40,,34,7,"Fishing depth 600 - 300 m",51,146,"Research",2,0,0,0,0
20,1,42.04,,,4/01/2004 6:19:00,4/01/2004 6:49:00,,,0,600,,,1371,1114,,,,,-53.21,74.29,-53.19,74.26,1.36,1020,3.30,2.60,40,35,7,"Fishing depth 600 - 300 m; wire out 1020-780; headline ht 3.3/4.8; wing 40/36",51,146,"Research",2,0,0,0,0
21,1,42.05,,,4/01/2004 8:08:00,4/01/2004 8:40:00,,,0,300,,,1303,1024,,,,,-53.21,74.28,-53.19,74.26,1.27,600,5.00,2.20,34,35,7,"Fishing depth 300-100 m; wire out 600-300 m; headline ht 4.8/4.7/6.5/5.8/6.3; wing width 34/35/29/32.",51,146,"Research",2,0,0,0,0
22,1,42.06,,,4/01/2004 9:24:00,4/01/2004 9:54:00,,,0,100,,,1284,1372,,,,,-53.21,74.29,-53.21,74.29,1.25,238,,2.50,32,35,7,"Fishing depth 100m-surface; wire out 238-39; wing 32/27/26 (Dist calc from duration, posns wrong?)",51,146,"Research",2,0,0,0,0
23,1,43.01,,,4/01/2004 11:12:00,4/01/2004 11:44:00,,,0,300,,,549,769,,,,,-53.07,74.33,-53.08,74.30,1.20,600,4.00,2.40,35,35,7,"Fishing depth 300-100 m; wire out 600-280; headline 4.3/5.4/4.9/4.9; wing 35/31/36/31",51,146,"Research",2,0,0,0,0
24,1,43.02,,,4/01/2004 12:52:00,4/01/2004 13:22:00,,,0,100,,,605,759,,,,,-53.07,74.33,-53.08,74.30,1.21,300,6.00,2.60,27,35,7,"Fishing depth 100m-surface; wire out 300-80; headline 6.5/6.1/5.7/6.2; wing 27/27/26/21",51,146,"Research",2,0,0,0,0
