"SpeciesID","Species","Haul 38.02","Haul 38.03","Haul 38.04","Haul 39.05","Haul 39.06","Haul 39.07","Haul 40.01","Haul 40.02","Haul 40.03","Haul 41.01","Haul 41.02","Haul 41.03","Haul 42.04","Haul 42.05","Haul 42.06","Haul 43.01","Haul 43.02","Haul 44.01","Haul 44.02","Haul 44.03","Haul 45.04","Haul 45.05","Haul 45.06","Haul 46.01","Haul 47.01","Haul 48.01","Haul 48.02","Haul 49.03","Haul 49.04","Haul 50.01","Haul 51.01","Haul 51.02","Haul 53.02","Haul 53.03","Haul 54.01","Haul 54.02","Haul 55.01","Haul 55.02","Haul 56.01","Haul 56.02","Haul 57.01","Haul 57.02","Haul 58.04","Haul 59.03","Haul 59.04","Haul 61.01","Haul 61.02","Haul 61.03","Haul 62.01","Haul 62.03","Haul 63.04","Haul 63.05","Haul 63.06","Haul 64.01","Haul 64.02","Haul 64.03","Haul 65.01","Haul 65.02","Haul 65.03","Haul 66.04","Haul 66.05","Haul 66.06","Haul 67.01","Haul 67.02","Haul 67.03","Haul 68.01"
800.00,"gelatinous unidentified",0.00,19.00,0.00,21.00,19.00,13.00,20.00,0.00,0.00,0.00,15.00,34.00,13.00,18.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,20.00,0.00,14.00,30.00,13.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,10.00,0.00,3.00,0.00,22.00,72.00,19.00
801.00,"hydromedusae",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,31.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00
802.00,"Calycopsis borchgrevinki",8.00,0.00,0.00,57.00,0.00,0.00,20.00,0.00,0.00,64.00,0.00,431.00,0.00,9.00,0.00,0.00,0.00,16.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,6.00,0.00,1.00,3.00,0.00,2.00,0.00,6.00,45.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,10.00,75.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
390.00,"Periphylla periphylla",1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,28.00,0.00,0.00,6.00,1.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
804.00,"Diphyes sp.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
805.00,"nectophores",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
806.00,"Siphonophore",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,83.00,14.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,72.00,0.00,0.00,6.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807.00,"Tomopteris sp.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
808.00,"Tomopteris carpenteri",1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,1.00,10.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00
809.00,"Tomopteris planktonis",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
