"lon","lat"
95.9546,-63.7922
95.5151,-63.8794
95.0317,-63.9663
94.6582,-64.0337
94.2407,-64.0818
93.8672,-64.1394
93.4058,-64.1872
92.9443,-64.2923
92.417,-64.3874
92.0435,-64.5106
91.7139,-64.605
91.3184,-64.7179
90.9448,-64.8396
90.5658,-64.9654
89.978,-65.0814
89.5935,-65.1369
89.0771,-65.1646
88.8354,-65.1738
88.5937,-65.1761
88.3301,-65.1784
88.0664,-65.1738
87.4951,-65.1646
87.0667,-65.1461
86.6602,-65.1184
86.2482,-65.0768
85.8362,-65.049
85.4736,-65.0351
85.0342,-65.0351
84.6167,-65.0582
84.0234,-65.1553
83.584,-65.2107
83.2324,-65.2659
82.8369,-65.3141
82.4634,-65.3577
82.0459,-65.376
81.6724,-65.392
81.3373,-65.4103
