"lon","lat"
85.6714,-59.8131
85.762,-59.8089
85.8746,-59.8144
85.968,-59.8255
86.0669,-59.8503
86.1548,-59.8752
86.2592,-59.9192
86.3086,-59.9605
86.358,-60.0155
86.369,-60.0676
86.369,-60.121
86.3553,-60.1675
86.3333,-60.2125
86.2976,-60.2534
86.2509,-60.2889
86.1987,-60.3188
86.1273,-60.3433
86.0504,-60.3623
85.9735,-60.3731
85.8746,-60.3759
85.7977,-60.3759
85.7208,-60.3704
85.6329,-60.3623
85.5286,-60.3405
85.4407,-60.3052
85.3638,-60.2643
85.3143,-60.218
85.2814,-60.1661
85.2649,-60.1251
85.2704,-60.0813
85.2814,-60.0292
85.2979,-59.9852
85.3281,-59.9413
85.3885,-59.8986
85.4626,-59.8614
85.5505,-59.8338
85.611,-59.8227
