waypoint name,latitude decimal deg,longitude decimal deg,waypoint group
          wp0102,-62.689,99.2388,          k-axis
          wp0103,-63.9943,93.5912,          k-axis
          wp0104,-64.85,93.55,          k-axis
          wp0200,-65.75,93.56,          k-axis
          wp0201,-64.83,93.54,          k-axis
          wp0202,-64.81,93.56,          k-axis
          wp0203,-64.78,93.56,          k-axis
          wp0204,-64.73,93.57,          k-axis
          wp0205,-64.63,93.57,          k-axis
          wp0206,-64.29,93.56,          k-axis
          wp0208,-63.5,93.56,          k-axis
          wp0207,-64,93.56,          k-axis
          wp0209,-63,93.57,          k-axis
          wp0210,-62.28,93.15,          k-axis
          wp0211,-61.96,93.26,          k-axis
          wp211A,-61.706,93.375,          k-axis
          wp0212,-61.152,93.551,          k-axis
          wp0301,-61.97,92.56,          k-axis
          wp0302,-62.29,91.52,          k-axis
          wp0303,-62.3927,89.6737,          k-axis
          wp0304,-62.4682,87.7962,          k-axis
          wp0305,-62.5112,86.1237,          k-axis
          wp0306,-62.5333,83.8595,          k-axis
          wp0307,-62.5208,82.0162,          k-axis
          wp0401,-63.2593,82.0115,          k-axis
          wp0402,-63.9457,83.1313,          k-axis
          wp0403,-64.4125,83.545,          k-axis
          wp0404,-64.6655,84.3112,          k-axis
          wp0405,-65.1672,84.312,          k-axis
         wp0405A,-65.1672,85.4333,          k-axis
         wp0406A,-65.5238,85.0833,          k-axis
          wp0406,-65.5238,84.4812,          k-axis
          wp0407,-65.7135,84.4493,          k-axis
          wp0408,-65.7682,84.5278,          k-axis
          wp0409,-65.8108,84.5502,          k-axis
          wp0501,-64.9198,88.6698,          k-axis
         wp0501A,-65.1333,89.7833,          k-axis
        wp0600.1,-65.217,91.883,          k-axis
        wp0600.2,-65,91.383,          k-axis
        wp0600.3,-64.317,89.8,          k-axis
          wp0601,-63.5898,88.2175,          k-axis
          wp0602,-63.1097,87.2567,          k-axis
          wp0603,-62.5112,86.1237,          k-axis
          wp0604,-61.9232,85.0737,          k-axis
          wp0605,-61.2017,83.8628,          k-axis
          wp0606,-60.3617,82.5483,          k-axis
          wp0607,-59.3627,81.1033,          k-axis
          wp0608,-58.6578,80.1522,          k-axis
          wp0701,-58.239,82.0007,          k-axis
          wp0702,-57.9098,83.3343,          k-axis
          wp0703,-57.5788,84.5888,          k-axis
          wp0800,-57.8167,85.2833,          k-axis
          wp0801,-58.8667,85.1333,          k-axis
          wp0802,-59.1,84.45,          k-axis
          wp0803,-59.9333,86.7,          k-axis
          wp0901,-60.0667,85.75,          k-axis
          wp0902,-60.3167,83.5893,          k-axis
          wp0903,-60.3618,82.5485,          k-axis
          wp0904,-60.9003,79.9235,          k-axis
          wp0905,-61.3172,77.582,          k-axis
          wp0906,-61.8338,74.0962,          k-axis
          wp1001,-62.6833,73.3533,          k-axis
          wp1002,-63.9623,72.1293,          k-axis
          wp1003,-64.8768,71.1698,          k-axis
          wp1004,-65.9563,69.9448,          k-axis
          wp1005,-66.6265,69.1203,          k-axis
          wp1006,-66.9037,68.7588,          k-axis
          wp1101,-66.8617,66.2268,          k-axis
          wp1102,-66.7858,63.9488,          k-axis
           MA1.1,-66.6829,62.4261, Mawson Krill Box
       Leg 1 Mid,-66.3957,62.5382,          k-axis
           MA1.2,-66.1084,62.6478, Mawson Krill Box
           MA2.1,-66.1215,62.8606, Mawson Krill Box
       Leg 2 Mid,-66.4088,62.7533,          k-axis
           MA2.2,-66.6962,62.6437, Mawson Krill Box
           MA3.1,-66.7092,62.8616, Mawson Krill Box
       Leg 3 Mid,-66.4218,62.9688,          k-axis
           MA3.2,-66.1342,63.0736, Mawson Krill Box
           MA4.1,-66.1466,63.2868, Mawson Krill Box
       Leg 4 Mid,-66.4343,63.1843,          floats
           MA4.2,-66.722,63.0796, Mawson Krill Box
           MA5.1,-66.7344,63.2979, Mawson Krill Box
       Leg 5 Mid,-66.4467,63.4002,          k-axis
           MA5.2,-66.1588,63.5002, Mawson Krill Box
           MA6.1,-66.1706,63.7138, Mawson Krill Box
       Leg 6 Mid,-66.4587,63.6162,          k-axis
           MA6.2,-66.7465,63.5164, Mawson Krill Box
           MA7.1,-66.7583,63.7351, Mawson Krill Box
       Leg 7 Mid,-66.4703,63.8325,          k-axis
           MA7.2,-66.1822,63.9276, Mawson Krill Box
           MA8.1,-66.1934,64.1416, Mawson Krill Box
       Leg 8 Mid,-66.4817,64.0488,          k-axis
           MA8.2,-66.7699,63.954, Mawson Krill Box
          Mawson,-67.6037,62.8728,        Stations
